item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q111843380,Fátima Rais Aly Mpemba,Q504564,FRELIMO,Q622799,Niassa Province,2020-01-13,,,Q111843380-9D3393F7-32A7-48E8-80CC-A4E7685A4111
Q111843381,Gabriel Xavier da Barca Júnior,Q504564,FRELIMO,Q3889,Maputo,2020-01-13,,,Q111843381-9E387DC0-6635-4CA2-817F-B624321609BC
Q111841537,Gania Aly Abdula Mussagy,Q1425821,RENAMO,Q466547,Inhambane Province,2020-01-13,,female,Q111841537-3F22A649-0E65-42EF-8DBF-53420A52F972
Q111843382,Germano José Joaquim,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,,Q111843382-2AED63DE-1BD1-4C98-8134-739871B692A8
Q111843383,Gilberto Francisco,Q504564,FRELIMO,Q622794,Nampula Province,2020-01-13,,,Q111843383-556671C1-9D3B-458D-AF8A-4372A3B266B7
Q111841539,Gildo Fortunato Elias Muaga,Q504564,FRELIMO,Q466547,Inhambane Province,2020-01-13,,male,Q111841539-A0A7819C-07C1-4F9A-A482-9230A120E619
Q111843384,Glória Ernesto Matuassa,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,,Q111843384-54966830-47FE-4067-B4F6-14FED4C79935
Q111841541,Glória Salvador,Q1425821,RENAMO,Q622794,Nampula Province,2020-01-13,,female,Q111841541-929E25C9-0BD0-4389-B911-1B815DA8A17A
Q111841542,Gonçalves Maceda,Q504564,FRELIMO,Q466547,Inhambane Province,2020-01-13,,male,Q111841542-DB55E0C3-8E99-4902-A584-329A5B8854B5
Q111841544,Helena Jacinto Música,Q504564,FRELIMO,Q3889,Maputo,2020-01-13,,female,Q111841544-AB6FC005-AFC8-420C-9C0C-7F248E7F6569
Q111843385,Henriqueta Fabião Cuna,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,,Q111843385-478C729B-86E3-4F7E-A117-92C807B04955
Q111843386,Hermenegildo Bernardo Devesse,Q504564,FRELIMO,Q466547,Inhambane Province,2020-01-13,,,Q111843386-4F65DBE9-0DCD-4AE9-9C6E-6B167019F8CF
Q111843387,Hermenegildo Domingos Chiúre,Q504564,FRELIMO,Q466526,Gaza Province,2020-01-13,,,Q111843387-2D1B3462-1AD0-4258-99B1-61787560FD85
Q111843388,Hermínio Morais,Q1425821,RENAMO,Q3889,Maputo,2020-01-13,,,Q111843388-D363583A-6370-40BD-8207-D0BD9AEFDF63
Q111843389,Hortência Gaurassue Zacarias Magibire de,Q504564,FRELIMO,Q622801,Sofala,2020-01-13,,,Q111843389-B9AF91EE-6D74-484A-9AF0-2CF1D79A5434
Q111841548,Hélder Ernesto Injojo,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,male,Q111841548-F43B1712-8E31-4F07-A68C-86F2499CE6BC
Q111843390,Idalina Felix Nitasse,Q504564,FRELIMO,Q622799,Niassa Province,2020-01-13,,,Q111843390-6EF49167-48E5-476D-8ABD-CD9842F2C648
Q111843391,Inácia Henriques Carneiro Ngonde,Q504564,FRELIMO,Q622803,Zambezia Province,2020-01-13,,,Q111843391-DD8836CD-F86B-492F-919A-DFC6E689172B
Q111843392,Inácio João Reis,Q1425821,RENAMO,Q622803,Zambezia Province,2020-01-13,,,Q111843392-E2EC5626-5AEF-406A-9643-817F47162310
Q111843393,Isaltina Maria Campioni Biwi,Q504564,FRELIMO,Q379658,Maputo Province,2020-01-13,,,Q111843393-B1D507F0-C192-4754-A624-04D244940D55
